Subject,Day,Year,time,url_slug
Release:  42 Year Old Saskatoon Man Atempts To Evade Police.,May 16,2018,8:57 AM,/news/2018364
Release:  8th Annual Race Against Racism,September 13,2018,11:32 AM,/news/2018699
Release:  9th Annual Race Against Racism,September 16,2019,10:04 AM,/news/2019656
Release:  A Message From Chief Troy Cooper Regarding Public Health Order Education/Enforcement,April 3,2020,10:42 AM,/news/2020220
Release:  A Saskatoon Man Is Facing Charges After Reports Of A Person Armed With A Gun,September 26,2018,10:31 AM,/news/2018721
Release:  Accident Update Sid Buckwold Bridge,December 27,2017,1:29 PM,/news/20171054
Release:  Accident With Injuries - Traffic Restrictions,August 20,2021,5:58 PM,/news/2021445
Release:  Accident With Injuries - Traffic Restrictions,September 5,2021,8:30 PM,/news/2021477
Release:  Accident With Injuries 11th Street And Highway 7,April 18,2021,3:03 AM,/news/2021202
Release:  Accident With Injuries-Traffic Restrictions Lifted,April 18,2021,11:41 AM,/news/2021203
Release:  Addendum - Missing Person - Request For Assistance,April 7,2020,5:05 PM,/news/2020228
Release:  Additional Arrests - Assault/Forcible Confinement - 600 Block Idylwyld Drive North,May 22,2020,3:23 PM,/news/2020344
Release:  Additional Arrests - Assaults - Pleasant Hill Park,May 29,2019,2:51 PM,/news/2019366
Release:  Additional Charge - Sexual Assault - 200 Block Stensrud Road,July 30,2020,8:58 AM,/news/2020520
Release:  Additional Charges - Sexual Assault: Hodgson Rd.,June 30,2021,3:25 PM,/news/2021363
Release:  Additional Info: Assault With A Weapon/Mischief - 1st Ave. S & 20th St. E,May 13,2021,3:54 PM,/news/2021264
Release:  Additional Information - Arrest - Evade Police/Stolen Property,September 16,2019,11:35 AM,/news/2019660
Release:  Additional Information - Assault/Unlawful Confinement,February 11,2019,11:38 AM,/news/2019103
Release:  Additional Information - Evade Police,April 30,2020,10:30 AM,/news/2020290
Release:  Additional Information - Megan Gallagher Awareness Walk / Saskatchewan Missing Persons Week,September 17,2021,9:28 AM,/news/2021503
Release:  Additional Information - Megan Gallagher Investigation,May 5,2021,10:30 AM,/news/2021247
Release:  Additional Information - Missing Person,January 29,2018,5:11 PM,/news/201857
Release:  Additional Information - Sexual Assault Charges - Wellman Cres.,July 29,2019,2:55 PM,/news/2019523
Release:  Additional Information - Sudden Death Investigation - 400 Block 5th Avenue North,September 18,2020,9:30 AM,/news/2020667
Release:  Additional Information For Media Re: Ceremony For Cst. Heidi Stevenson,April 24,2020,12:08 PM,/news/2020268
Release:  Additional Information: Suspicious Death - 200 Block Ave. F N,July 10,2018,3:59 PM,/news/2018527
Release:  Additional Photo - Missing Girl,August 19,2020,7:13 AM,/news/2020569
Release:  ADDITIONAL PHOTO - Missing Person: Request For Public Assistance,July 22,2020,3:21 PM,/news/2020514
Release:  Additional Photo: Missing Person - Request For Public Assistance,December 10,2019,12:33 PM,/news/2019929
Release:  Additional Photograph-Missing Person,April 8,2020,6:11 PM,/news/2020231
Release:  Additional Pictures - Missing Person,December 9,2019,3:29 PM,/news/2019920
Release:  Aggravated Assault - 100 Block Ave. T S,September 25,2019,12:16 PM,/news/2019684
Release:  Aggravated Assault - 100 Block Avenue R North,July 13,2020,2:17 PM,/news/2020482
Release:  Aggravated Assault - 1700 Block 20 St W,July 10,2021,12:53 PM,/news/2021387
Release:  Aggravated Assault - 400 Block Ave. P S,May 17,2021,11:13 AM,/news/2021270
Release:  Aggravated Assault - 600 Block Idylwyld Drive,April 11,2019,2:12 PM,/news/2019264
Release:  Aggravated Assault - 600 Block Of 28th Street West,July 29,2019,10:44 AM,/news/2019521
Release:  Aggravated Assault - 700 Block Circle Dr. E,September 9,2019,10:08 AM,/news/2019638
Release:  Aggravated Assault - 800 Weldon Av,September 10,2019,1:40 AM,/news/2019643
Release:  Aggravated Assault - Ave. H S & 18th St. W,February 3,2021,11:31 AM,/news/202174
Release:  Aggravated Assault 500 Block Ave. H S.,July 11,2021,8:10 PM,/news/2021389
Release:  Aggravated Assault Charge Laid - 600 Block 45th St W,November 16,2018,11:14 AM,/news/2018835
Release:  Aggravated Assault Investigation - 1500 Block 20th Street West,September 21,2020,4:06 PM,/news/2020679
Release:  Aggravated Assault Update - Manslaughter Charge,September 18,2019,4:05 PM,/news/2019667
Release:  Air Support And Canine Units Team Up On Pair Of Stolen Vehicle Calls,March 15,2018,3:23 PM,/news/2018161
Release:  Air Support Unit Assists In Recovery Of Stolen Vehilce,August 31,2018,4:16 AM,/news/2018665
Release:  Air Support Unit Assists With Stolen Vehicle,March 4,2020,12:25 AM,/news/2020139
Release:  Air Support Unit Tracks Erratic Driver East Of City - Rosetown Man Arrested,June 28,2018,12:12 AM,/news/2018491
Release:  Alcohol Fueled Evening Ends In Arrest,August 15,2018,10:28 PM,/news/2018630
Release:  Allegations Against SPS Unfounded - Chief's Statement,December 18,2018,10:47 AM,/news/2018903
Release:  Altercation Results In Serious Injury To 21 Year Old Winnipeg Man.,August 4,2018,9:04 AM,/news/2018594
Release:  Alternative Response Officers On The Street,May 14,2021,2:14 PM,/news/2021266
Release:  Andrew Chatsis Arrested,April 12,2018,11:28 PM,/news/2018245
Release:  Annual Saskatoon Police Community BBQ,July 12,2018,8:56 AM,/news/2018530
Release:  Another Moose On The Loose - 1200 Block Av P North,April 20,2018,1:51 PM,/news/2018270
Release:  Anti-Mask Rallies - Enforcement And Request For Public Assistance,May 20,2021,12:42 PM,/news/2021277
Release:  Apartment Fire - 100 Block Ave O South,February 10,2019,10:46 PM,/news/201998
Release:  Apartment Fire - 100 Block Ave O South,February 11,2019,12:35 AM,/news/201999
Release:  Apartment Fire - 2000 20 St W,September 11,2020,11:24 PM,/news/2020648
Release:  Apartment Fire - 2000 20 St W,September 11,2020,9:27 PM,/news/2020647
Release:  Apartment Fire - 2600 Block Broadway Av,March 13,2021,10:16 PM,/news/2021146
Release:  Apartment Fire - Traffic Restrictions,June 21,2020,8:18 PM,/news/2020416
Release:  Armed Robberies - 1600 Block Isabella St. East/200 Block Stonebridge Blvd.,March 30,2021,11:27 AM,/news/2021175
Release:  Armed Robberies- 100 Block Of Clancy Drive,October 23,2018,12:19 AM,/news/2018781
Release:  Armed Robberies/Arrest - 2nd Ave. N & 23rd St. E,July 24,2018,4:19 PM,/news/2018557
Release:  Armed Robberies/Discharged Firearm - 1200 Block Idylwyld Drive And 200 Block Acadia Drive,January 25,2021,12:10 PM,/news/202151
Release:  Armed Robbery  - Two In Custody - 400 Block 3rd Ave. North.,March 24,2018,5:55 PM,/news/2018185
Release:  Armed Robbery,March 5,2019,12:41 AM,/news/2019168
Release:  Armed Robbery - 10 Block Assiniboine Drive,August 9,2018,12:54 PM,/news/2018606
Release:  Armed Robbery - 10 Block Columbia Drive,August 23,2019,1:52 PM,/news/2019607
Release:  Armed Robbery - 100 Block 33rd St. W,April 2,2019,11:45 AM,/news/2019235
Release:  Armed Robbery - 100 Block 33rd St. W,July 17,2018,9:01 AM,/news/2018544
Release:  Armed Robbery - 100 Block Lenore Drive,August 7,2020,9:51 AM,/news/2020545
Release:  Armed Robbery - 100 Block Of Ruth Street East,February 8,2018,3:43 AM,/news/201880
Release:  Armed Robbery - 100 Block Wedge Rd.,December 12,2018,3:24 PM,/news/2018890
Release:  Armed Robbery - 1000 Block Matheson Drive,July 11,2019,11:20 AM,/news/2019483
Release:  Armed Robbery - 1000 Block Of Mckercher Drive,March 5,2018,4:11 AM,/news/2018135
Release:  Armed Robbery - 1100 Block Central Ave.,August 14,2018,10:57 AM,/news/2018627
Release:  Armed Robbery - 1200 Block Of 7th Avenue N,January 26,2019,10:08 PM,/news/201948
Release:  Armed Robbery - 1400 Block 22nd St. W,November 28,2018,11:50 AM,/news/2018858
Release:  Armed Robbery - 1400 Block Central Ave.,August 5,2018,3:14 PM,/news/2018599
Release:  Armed Robbery - 1500 Block 8th Street East,January 27,2020,5:10 PM,/news/202054
Release:  Armed Robbery - 1600 Block 19th Street West,December 17,2018,11:43 AM,/news/2018896
Release:  Armed Robbery - 1600 Block Of 22nd Street West,March 2,2018,12:30 AM,/news/2018129
Release:  Armed Robbery - 1600 Block Of 22nd Street West,March 2,2018,4:21 AM,/news/2018130
Release:  Armed Robbery - 1700 Block Preston Ave. N,April 16,2018,4:31 PM,/news/2018255
Release:  Armed Robbery - 1800 Block Broadway Ave,December 19,2017,1:46 AM,/news/20171033
Release:  Armed Robbery - 1800 Block McOrmond Drive,August 5,2020,2:25 PM,/news/2020539
Release:  Armed Robbery - 1800 Of Broadway Ave,December 30,2017,12:19 AM,/news/20171060
Release:  Armed Robbery - 200 Block 20th Street West,May 22,2020,10:11 AM,/news/2020343
Release:  Armed Robbery - 200 Block Of Pendygrasse Road,May 1,2019,10:30 AM,/news/2019311
Release:  Armed Robbery - 200 Block Pendygrasse Rd.,November 18,2020,10:51 AM,/news/2020828
Release:  Armed Robbery - 2200blk 22nd St W,March 23,2020,3:11 AM,/news/2020190
Release:  Armed Robbery - 2300 Block 33rd St. W,February 18,2021,2:11 PM,/news/2021101
Release:  Armed Robbery - 2300 Block 33rd St. W,January 8,2020,10:53 AM,/news/202015
Release:  Armed Robbery - 300 Block Avenue R South,September 29,2020,1:27 PM,/news/2020704
Release:  Armed Robbery - 3000 Block Diefenbaker Dr.,March 8,2019,9:21 AM,/news/2019172
Release:  Armed Robbery - 3000 Block Of Diefenbaker Drive,February 11,2019,10:18 PM,/news/2019104
Release:  Armed Robbery - 3000 Block Of Diefenbaker Drive,March 28,2018,2:02 AM,/news/2018192
Release:  Armed Robbery - 3300 Block 33rd St. W - Two People In Custody.,December 16,2017,3:43 PM,/news/20171022
Release:  Armed Robbery - 3700 Block Diefenbaker Drive,March 14,2019,2:46 AM,/news/2019187
Release:  Armed Robbery - 3700 Block Diefenbaker Drive,November 12,2018,1:57 AM,/news/2018819
Release:  Armed Robbery - 3700 Block Diefenbaker Drive,October 1,2018,12:05 PM,/news/2018727
Release:  Armed Robbery - 3900 Block 8th St. E,April 4,2018,3:42 PM,/news/2018212
Release:  Armed Robbery - 400 Block Of Kenderdine Road,December 30,2017,11:49 PM,/news/20171061
Release:  Armed Robbery - 500 Block 33rd Street West,May 5,2019,2:28 AM,/news/2019319
Release:  Armed Robbery - 500 Block Of 5th Ave. N,August 21,2019,9:48 AM,/news/2019597
Release:  Armed Robbery - 600 Block 11th Street,April 17,2019,1:29 PM,/news/2019276
Release:  Armed Robbery - 700 Block Weldon Ave.,March 11,2021,1:03 PM,/news/2021143
Release:  Armed Robbery - 700blk 7th Ave N,August 25,2019,7:37 AM,/news/2019610
Release:  Armed Robbery - 800 Block 51st St East,August 8,2019,3:17 AM,/news/2019553
Release:  Armed Robbery - 800 Block Central Avenue,December 24,2019,11:20 AM,/news/2019970
Release:  Armed Robbery - 900 Block Northumberland Avenue,June 11,2018,4:56 PM,/news/2018445
Release:  Armed Robbery - 900 Block Spadina Cres. East,April 1,2018,2:36 AM,/news/2018200
Release:  Armed Robbery - ASU/Arrests - 1600 Block Of 22nd St. W,December 20,2017,11:32 AM,/news/20171036
Release:  Armed Robbery - Involving Vehicle,January 5,2020,4:34 AM,/news/20209
Release:  Armed Robbery - One Arrested - Highway 5 And 41,August 14,2019,2:55 PM,/news/2019571
Release:  Armed Robbery 200 Block Venture Cr,May 28,2019,1:18 AM,/news/2019363
Release:  Armed Robbery 3000 Diefenbaker Dr,March 2,2019,3:37 AM,/news/2019162
Release:  Armed Robbery Suspects Arrested - 200 Block Of Dickey Cr.,May 9,2018,10:44 AM,/news/2018340
Release:  Armed Robbery- 3000 Blk Diefenbaker Dr,October 24,2019,12:52 AM,/news/2019775
Release:  Armed Robbery/Arrests - 21st St. W & Ave. V S,March 19,2019,10:58 AM,/news/2019202
Release:  Armed Robbery/Arrests - 2400 Block 22nd St. W,November 13,2018,12:30 PM,/news/2018825
Release:  Armed Robbery/Stabbing - 3300 Block Fairlight Drive,December 23,2019,9:28 AM,/news/2019960
Release:  Armed Robbery/Two In Custody - 900 Block Northumberland Ave,March 15,2019,4:30 PM,/news/2019193
Release:  Armed Street Robberies - 21st Street West And 3rd Avenue North,August 14,2019,3:37 PM,/news/2019573
Release:  Armed Street Robbery - 3500 Block Of 8 St E,February 5,2019,9:41 PM,/news/201988
Release:  Armed Suspect/Arrest â€“ 10 Block 25th Street East,May 3,2018,11:00 AM,/news/2018317
Release:  Arrest - Aggravated Assault - 100 Block 109th Street West,October 26,2020,9:26 AM,/news/2020768
Release:  Arrest - Aggravated Assault - 1500 Block 19th Street West,September 3,2020,10:13 AM,/news/2020620
Release:  Arrest - Aggravated Assault Investigation - 500 Block Avenue X South,May 28,2020,2:22 PM,/news/2020354
Release:  Arrest - Aggravated Sexual Assault Investigation - 200 Block Stensrud Road,October 29,2019,12:36 PM,/news/2019793
Release:  Arrest - Armed Robberies - 800 Block 16th Street West,November 7,2018,3:33 PM,/news/2018814
Release:  Arrest - Armed Robbery - 400 Block Russell Road,January 24,2020,10:19 AM,/news/202050
Release:  Arrest - Arson - 300 Block Avenue J South,March 10,2021,4:03 PM,/news/2021139
Release:  Arrest - Assault - 200 Block Avenue D South,September 21,2020,4:32 PM,/news/2020680
Release:  Arrest - Assault / Firearm Possession - 2800 Block Lorne Avenue,August 16,2021,4:02 PM,/news/2021436
Release:  Arrest - Assault / Robbery - Avenue B North And 33rd Street West,June 12,2020,1:20 PM,/news/2020397
Release:  Arrest - Assault / Weapons Investigation - 100 Block Hedley Street,August 27,2020,10:29 AM,/news/2020601
Release:  Arrest - Assault Investigation - 200 Block Fairmont Drive,May 4,2020,5:25 PM,/news/2020302
Release:  Arrest - Assault Investigation - 200 Block Primrose Drive,May 28,2020,1:47 PM,/news/2020353
Release:  Arrest - Assault Police Officer - 1800 Block 22nd Street West,May 4,2020,2:53 PM,/news/2020301
Release:  Arrest - Assault Police Officer - 200 Block Avenue O South,December 18,2017,11:28 AM,/news/20171027
Release:  Arrest - Assault Police Officer - 200 Block Avenue S South,January 23,2020,10:55 AM,/news/202046
Release:  Arrest - Assault Police Officer - 300 Block Avenue R South,January 31,2019,10:25 AM,/news/201970
Release:  Arrest - Assault Police Officer - 400 Block Avenue X South,July 2,2020,10:54 AM,/news/2020452
Release:  Arrest - Assault With A Weapon - 100 Block Avenue O South,June 23,2020,1:26 PM,/news/2020419
Release:  Arrest - Assault With A Weapon - 1500 Block Spadina Crescent East,November 19,2018,3:59 PM,/news/2018840
Release:  Arrest - Assault With A Weapon - 3500 Block John A. MacDonald Road,May 5,2020,10:03 AM,/news/2020303
Release:  Arrest - Assaults - Pleasant Hill Park,May 24,2019,9:20 AM,/news/2019354
Release:  Arrest - Assist Outside Agency/Theft Investigation - 100 Block Manning Crescent,October 24,2019,10:36 AM,/news/2019776
Release:  Arrest - Break And Enter - 10 Block Capilano Drive,March 17,2020,1:55 PM,/news/2020176
Release:  Arrest - Break And Enter - 1100 Block Avenue W North,August 27,2020,3:43 PM,/news/2020603
Release:  Arrest - Break And Enter - 1200 Block Spadina Crescent,June 4,2020,10:19 AM,/news/2020376
Release:  Arrest - Break And Enter - 1800 Block Broadway Avenue,October 10,2019,2:51 PM,/news/2019724
Release:  Arrest - Break And Enter - 200 Block Avenue P South,June 13,2019,3:24 PM,/news/2019421
Release:  Arrest - Break And Enter - 300 Block Avenue P South,June 18,2020,9:18 AM,/news/2020406
Release:  Arrest - Break And Enter - 400 Block Nelson Road,April 24,2020,9:52 AM,/news/2020266
Release:  Arrest - Break And Enter In Progress - 1900 Block Quebec Avenue,September 24,2020,9:23 AM,/news/2020687
Release:  Arrest - Break And Enter To Mailboxes - 1700 Block 22nd Street West,November 28,2019,2:31 PM,/news/2019889
Release:  Arrest - Break And Enter/Stolen Vehicle - 3800 Block Fairlight Drive,June 16,2020,2:41 PM,/news/2020402
Release:  Arrest - Break And Enters To Businesses,April 27,2020,10:09 AM,/news/2020276
Release:  Arrest - CEW Deployment - 100 Block Imperial St.,October 3,2020,2:21 AM,/news/2020715
Release:  Arrest - CEW Deployment - 33rd Street And Circle Drive,September 3,2020,4:31 PM,/news/2020623
Release:  Arrest - CEW Deployment - 36th Street West And Avenue C North,June 6,2019,10:26 AM,/news/2019392
Release:  Arrest - Child Luring/Trafficking,December 4,2018,4:10 PM,/news/2018867
Release:  Arrest - Cocaine Trafficking - 22nd Street West And Avenue O South,April 22,2020,11:43 AM,/news/2020259
Release:  Arrest - Collision / Stabbing Investigation - 20th Street And Avenue W,September 10,2020,4:20 PM,/news/2020642
Release:  Arrest - Dangerous Driving - 200 Block Roberecki Crescent,September 21,2020,12:10 PM,/news/2020673
Release:  Arrest - Dangerous Driving / Assault Police Officer - 400 Block Circle Drive East,June 7,2021,8:37 AM,/news/2021307
Release:  Arrest - Dangerous Driving / Possession Of Stolen Property Over $5000 - 33rd Street And Kensington Road,May 31,2018,11:24 AM,/news/2018414
Release:  Arrest - Dangerous/Impaired Driving - 8th Street East,April 22,2020,11:24 AM,/news/2020258
Release:  Arrest - Discharged Firearm/Motor Vehicle Collision - 100 Block Of 105th Street West,April 6,2021,11:24 AM,/news/2021180
Release:  Arrest - Discharged Firearm/Two Firearms Seized - 1500 Block 20th Street West,August 13,2021,9:52 AM,/news/2021429
Release:  Arrest - Disturbance/Assault - 100 Block Confederation Drive,October 1,2019,10:32 AM,/news/2019698
Release:  Arrest - Domestic Disturbance - 500 Block Avenue X South,October 24,2019,11:39 AM,/news/2019777
Release:  Arrest - Drug Trafficking - 100 Block Marlatte Crescent,May 1,2018,11:05 AM,/news/2018304
Release:  Arrest - Drug Trafficking / Evade Police - Avenue W And 11th Street,May 4,2020,11:58 AM,/news/2020300
Release:  Arrest - Drug Trafficking Investigation - Circle Drive And Airport Drive,January 10,2019,3:16 PM,/news/201915
Release:  Arrest - Evade Police - 100 Block Research Road,November 19,2018,11:26 AM,/news/2018838
Release:  Arrest - Evade Police - 1600 Block Of 29th Street West,November 14,2018,10:09 AM,/news/2018827
Release:  Arrest - Evade Police - 200 Block 28th Street West,August 29,2019,9:11 AM,/news/2019619
Release:  Arrest - Evade Police - 20th Street West And Avenue N South,May 29,2019,9:29 AM,/news/2019364
Release:  Arrest - Evade Police - 33rd Street And Avenue B North,August 24,2020,10:29 AM,/news/2020587
Release:  Arrest - Evade Police - 33rd Street And Avenue F,August 6,2020,9:35 AM,/news/2020542
Release:  Arrest - Evade Police - 33rd Street And Idylwyld Drive,March 16,2018,1:38 PM,/news/2018162
Release:  Arrest - Evade Police - 3500 Block 8th Street East,September 21,2020,2:56 PM,/news/2020678
Release:  Arrest - Evade Police - 400 Block Cumberland Avenue North,February 1,2021,5:27 PM,/news/202170
Release:  Arrest - Evade Police - Avenue W And 29th Street,September 21,2020,12:59 PM,/news/2020675
Release:  Arrest - Evade Police - College Drive And Preston Avenue,October 19,2020,8:35 AM,/news/2020751
Release:  Arrest - Evade Police - Idylwyld Drive And 29th Street West,November 23,2020,10:47 AM,/news/2020832
Release:  Arrest - Evade Police / Impaired Driving  - 500 Block Avenue U South,November 2,2020,11:38 AM,/news/2020787
Release:  Arrest - Evade Police / Stolen Vehicle - Idylwyld Drive And Stanley Place,May 4,2020,11:12 AM,/news/2020299
Release:  Arrest - Evade Police/Dangerous Driving,July 14,2020,10:05 AM,/news/2020488
Release:  Arrest - Evade Police/Possession Of Methamphetamine,December 16,2019,3:14 PM,/news/2019950
Release:  Arrest - Evade Police/Stolen Property,September 16,2019,11:28 AM,/news/2019659
Release:  Arrest - Evade Police/Trafficking Methamphetamine - 110th Street East,December 3,2018,11:31 AM,/news/2018865
Release:  Arrest - Firearm/Break And Enter Tools - 20th Street West And Avenue V,October 3,2019,1:52 PM,/news/2019708
Release:  Arrest - Firearm/Methamphetamine Trafficking - 200 Block Of Pinehouse Drive,April 23,2020,3:40 PM,/news/2020264
Release:  Arrest - Firearms Investigation - 1100 Block Macklam Drive,June 4,2020,4:37 PM,/news/2020379
Release:  Arrest - Firearms Investigation - 4000 Block Degeer Street,April 30,2021,12:59 PM,/news/2021232
Release:  Arrest - Firearms Investigation - Avenue R South And 21st Street West,November 2,2018,5:06 PM,/news/2018802
Release:  Arrest - Forcible Confinement - 300 Block Avenue W South,June 11,2020,1:01 PM,/news/2020392
Release:  Arrest - Forcible Confinement - 600 Block 33rd Street West,March 5,2020,11:40 AM,/news/2020148
Release:  Arrest - Guns & Gangs Investigation - 400 Block 4th Avenue North,April 20,2021,8:27 AM,/news/2021208
Release:  Arrest - Identity Theft Investigation,February 20,2020,1:30 PM,/news/2020115
Release:  Arrest - Impaired Driving - 1st Avenue North And King Street,May 16,2019,10:23 AM,/news/2019344
Release:  Arrest - Impaired Driving - 33rd Street West And Avenue I North,August 29,2019,3:22 PM,/news/2019621
Release:  Arrest - Impaired Driving / Weapons Possession - 100 Block Arrand Crescent,October 26,2020,9:18 AM,/news/2020767
Release:  Arrest - Impaired Driving/Collision - 22nd Street West At Ave T,March 16,2021,10:44 AM,/news/2021149
Release:  Arrest - Impaired Driving/Collision With Building - 10 Block Assiniboine Drive,April 19,2021,11:48 AM,/news/2021207
Release:  Arrest - Importation Of A Prohibited Device,November 6,2020,9:15 AM,/news/2020800
Release:  Arrest - Indecent Exposure - 2000 Block 7th St. East,March 8,2019,3:29 PM,/news/2019174
Release:  Arrest - Injured Person - 1400 Block Avenue B North,June 19,2020,8:16 AM,/news/2020409
Release:  Arrest - Investigation Into Threatening Online Comments - Wiggins Avenue And Aird Street,September 20,2018,11:02 AM,/news/2018706
Release:  Arrest - Invitation To Sexual Touching,June 18,2018,1:36 PM,/news/2018463
Release:  Arrest - Laser Pointed At SPS Air Support Unit,September 8,2020,11:13 AM,/news/2020633
Release:  Arrest - Loaded Firearm Seized During Traffic Stop - 22nd Street And Hart Road,October 13,2020,4:26 PM,/news/2020742
"Release:  Arrest - Loaded, Sawed-Off Rifle Recovered - 1200 Block Avenue I North",March 27,2018,2:21 PM,/news/2018190
Release:  Arrest - Methamphetamine Trafficking - 400 Block 4th Avenue North,June 26,2019,10:07 AM,/news/2019450
Release:  Arrest - Mischief - 1300 Block East Centre,May 1,2018,10:01 AM,/news/2018302
Release:  Arrest - Mischief - 7th Avenue And Duke Street,August 27,2020,11:39 AM,/news/2020602
Release:  Arrest - Outstanding Warrants/Weapons Charges - 1300 Block Idylwyld Drive,February 6,2020,10:44 AM,/news/202080
Release:  Arrest - Possession Of Dangerous Weapon - 200 Block St. Paul's Place,February 5,2021,2:53 PM,/news/202184
Release:  Arrest - Possession Of Identification Documents,April 23,2020,9:47 AM,/news/2020261
Release:  Arrest - Possession Of Loaded Firearm - 1400 Block Main Street,June 4,2020,11:20 AM,/news/2020377
Release:  Arrest - Possession Of Stolen Property - 100 Block St. Paul Place,March 15,2021,11:19 AM,/news/2021147
Release:  Arrest - Possession Of Stolen Property Over $5000 - 31st Street West And Avenue H North,June 7,2018,4:40 PM,/news/2018439
Release:  Arrest - Robbery Of Financial Institution - 100 Block Kensington Blvd.,January 21,2019,4:31 PM,/news/201933
Release:  Arrest - Robbery With Violence - 600 Block Idylwyld Drive North,July 13,2020,10:17 PM,/news/2020486
Release:  Arrest - Saskatchewan ICE Investigation,May 28,2021,12:01 PM,/news/2021290
Release:  Arrest - Saskatchewan Internet Child Exploitation Unit Investigation,August 10,2021,2:47 PM,/news/2021423
Release:  Arrest - Search Warrant Executed - 300 Block 5th Avenue North,October 5,2018,3:48 PM,/news/2018735
Release:  Arrest - Search Warrants Executed / Drug Trafficking,July 27,2021,1:55 PM,/news/2021405
Release:  Arrest - Sexual Assault - 200 Block Stensrud Rd.,July 24,2020,9:07 AM,/news/2020516
Release:  Arrest - Sexual Assault/Child Luring,February 20,2020,10:10 AM,/news/2020113
Release:  Arrest - Shooting - 3800 Block Centennial Drive,November 4,2019,10:44 AM,/news/2019813
Release:  Arrest - Stabbing - 300 Block 33rd Street West,November 22,2018,12:02 PM,/news/2018847
Release:  Arrest - Stabbing Investigation - 1300 Block 8th Street East,July 2,2020,8:48 AM,/news/2020450
Release:  Arrest - Stolen Auto Investigation - Matheson Drive And 33rd Street West,April 1,2019,10:55 AM,/news/2019231
Release:  Arrest - Stolen Auto/Evade Police - 300 Block Denham Court,February 14,2020,10:30 AM,/news/202098
Release:  Arrest - Stolen License Plate / Weapons Investigation - 20th Street West And Avenue P South,April 1,2019,12:47 PM,/news/2019232
Release:  Arrest - Stolen Vehicle - 100 Block 33rd Street,November 13,2020,11:29 AM,/news/2020817
